Query	Reference	Core	Accessory
01-R1134-LR-Asm	01-R1430-LR-Asm	0.00045001507	0.0039799213
01-R1134-LR-Asm	02-R0894-LR-Asm	0.00044476986	0.011600316
01-R1134-LR-Asm	02-R1179-LR-Asm	0.00042259693	0.0063223243
01-R1134-LR-Asm	02-R1708-LR-Asm	0.00047767162	0.010219157
01-R1134-LR-Asm	02-R1896-LR-Asm	0.0005401373	0.0
01-R1134-LR-Asm	1-0006P6C4	0.00091964006	0.004957795
01-R1134-LR-Asm	1-0007P6C4	0.0006760359	0.0072131753
01-R1134-LR-Asm	1-0009P6C4	0.0008570552	0.00597769
01-R1134-LR-Asm	1-0013P6C4	0.00079494715	0.006411314
01-R1134-LR-Asm	1-0017P6C4	0.0008393526	0.006458938
01-R1134-LR-Asm	1-0021P6C4	0.00070244074	0.008368909
01-R1134-LR-Asm	1-0023P6C4	0.00090682507	0.0051644444
01-R1134-LR-Asm	1-0028P6C4	0.00093609095	0.0063464046
01-R1134-LR-Asm	1-0030P6C4	0.0008338094	0.015224099
01-R1134-LR-Asm	1-0031P6C4	0.0008416176	0.006259203
01-R1134-LR-Asm	1-0036P6C4	0.0005836487	0.008279502
01-R1134-LR-Asm	1-0039P6C4	0.001059413	0.0032899976
01-R1134-LR-Asm	1-0044P6C4	0.00047069788	0.0070554614
01-R1134-LR-Asm	1-0045P6C4	0.0009291768	0.00507468
01-R1134-LR-Asm	1-0047P6C4	0.00069487095	0.009759665
01-R1134-LR-Asm	1-0054P6C4	0.0008485913	0.006300509
01-R1134-LR-Asm	1-0056P6C4	0.0010264516	0.0033925772
01-R1134-LR-Asm	1-0061P6C4	0.00083369017	0.014466584
01-R1134-LR-Asm	1-0064P6C4	0.00089490414	0.0060217977
01-R1134-LR-Asm	1-0066P6C4	0.0009317398	0.005021274
01-R1134-LR-Asm	1-0069P6C4	0.00090426207	0.004785359
01-R1134-LR-Asm	1-0071P6C4	0.00089651346	0.004865885
01-R1134-LR-Asm	1-0072P6C4	0.0010552406	0.003209889
01-R1134-LR-Asm	1-0102P6C4	0.0008084774	0.0071848035
01-R1134-LR-Asm	1-0107P6C4	0.00071287155	0.008867919
01-R1134-LR-Asm	1-0110P6C4	0.0010379553	0.0051407814
01-R1134-LR-Asm	1-0112P6C4	0.0010617971	0.0029838681
01-R1134-LR-Asm	1-0116P6C4	0.00092583895	0.005229175
01-R1134-LR-Asm	1-0123P6C4	0.0009367466	0.004572749
01-R1134-LR-Asm	1-0137P6C4	0.00092738867	0.0049867034
01-R1134-LR-Asm	1-0149P6C4	0.000841856	0.00634557
01-R1134-LR-Asm	1-0153P6C4	0.00088721514	0.00613153
01-R1134-LR-Asm	1-0156P6C4	0.00049340725	0.0067281723
01-R1134-LR-Asm	1-0160P6C4	0.0007904172	0.005993247
01-R1134-LR-Asm	1-0168P6C4	0.00049847364	0.00402987
01-R1134-LR-Asm	1595	0.0012722611	0.019922853
01-R1134-LR-Asm	2-0013P6C4	0.0009189844	0.0046447515
01-R1134-LR-Asm	2-0021P6C4	0.00057542324	0.005447924
01-R1134-LR-Asm	2-0022P6C4	0.0006044507	0.00496006
01-R1134-LR-Asm	2-0023P6C4	0.00058817863	0.0052213073
01-R1134-LR-Asm	2-0028P6C4	0.0005636215	0.005681038
01-R1134-LR-Asm	2-0029P6C4	0.00059592724	0.005140841
01-R1134-LR-Asm	2-0031P6C4	0.0009518266	0.0036593676
01-R1134-LR-Asm	2-0034P6C4	0.0009301305	0.0058405995
