Sample1	Sample2	Distance	Mismatches
01-R1134-LR-Asm	01-R1430-LR-Asm	12836.00	0.01068
01-R1134-LR-Asm	02-R0894-LR-Asm	13188.00	0.01776
01-R1134-LR-Asm	02-R1179-LR-Asm	12938.00	0.01265
01-R1134-LR-Asm	02-R1708-LR-Asm	13194.00	0.01694
01-R1134-LR-Asm	02-R1896-LR-Asm	12785.00	0.00864
01-R1134-LR-Asm	1-0006P6C4	13488.00	0.02013
01-R1134-LR-Asm	1-0007P6C4	13663.00	0.01727
01-R1134-LR-Asm	1-0009P6C4	13524.00	0.02002
01-R1134-LR-Asm	1-0013P6C4	13527.00	0.01894
01-R1134-LR-Asm	1-0017P6C4	13528.00	0.02004
01-R1134-LR-Asm	1-0021P6C4	13639.00	0.01927
01-R1134-LR-Asm	1-0023P6C4	13488.00	0.02012
01-R1134-LR-Asm	1-0028P6C4	13496.00	0.02171
01-R1134-LR-Asm	1-0030P6C4	14538.00	0.02776
01-R1134-LR-Asm	1-0031P6C4	13524.00	0.01995
01-R1134-LR-Asm	1-0036P6C4	13181.00	0.01766
01-R1134-LR-Asm	1-0039P6C4	13496.00	0.02106
01-R1134-LR-Asm	1-0044P6C4	12734.00	0.01403
01-R1134-LR-Asm	1-0045P6C4	13500.00	0.02048
01-R1134-LR-Asm	1-0047P6C4	13713.00	0.01966
01-R1134-LR-Asm	1-0054P6C4	13534.00	0.01999
01-R1134-LR-Asm	1-0056P6C4	13510.00	0.02060
01-R1134-LR-Asm	1-0061P6C4	14457.00	0.02697
01-R1134-LR-Asm	1-0064P6C4	13522.00	0.02087
01-R1134-LR-Asm	1-0066P6C4	13511.00	0.02061
01-R1134-LR-Asm	1-0069P6C4	13491.00	0.01960
01-R1134-LR-Asm	1-0071P6C4	13487.00	0.01953
01-R1134-LR-Asm	1-0072P6C4	13524.00	0.02078
01-R1134-LR-Asm	1-0102P6C4	13530.00	0.02003
01-R1134-LR-Asm	1-0107P6C4	13796.00	0.01978
01-R1134-LR-Asm	1-0110P6C4	13486.00	0.02237
01-R1134-LR-Asm	1-0112P6C4	13493.00	0.02085
01-R1134-LR-Asm	1-0116P6C4	13499.00	0.02051
01-R1134-LR-Asm	1-0123P6C4	13481.00	0.02007
01-R1134-LR-Asm	1-0137P6C4	13497.00	0.02049
01-R1134-LR-Asm	1-0149P6C4	13514.00	0.01995
01-R1134-LR-Asm	1-0153P6C4	13543.00	0.02043
01-R1134-LR-Asm	1-0156P6C4	12934.00	0.01436
01-R1134-LR-Asm	1-0160P6C4	13678.00	0.01808
01-R1134-LR-Asm	1-0168P6C4	12942.00	0.01216
01-R1134-LR-Asm	1595	14715.00	0.03947
01-R1134-LR-Asm	2-0013P6C4	13509.00	0.01985
01-R1134-LR-Asm	2002-0476	14734.00	0.03965
01-R1134-LR-Asm	2-0021P6C4	13236.00	0.01455
01-R1134-LR-Asm	2-0022P6C4	13234.00	0.01470
01-R1134-LR-Asm	2-0023P6C4	13234.00	0.01459
01-R1134-LR-Asm	2-0028P6C4	13235.00	0.01455
01-R1134-LR-Asm	2-0029P6C4	13233.00	0.01461
01-R1134-LR-Asm	2-0031P6C4	13507.00	0.01966
01-R1134-LR-Asm	2-0034P6C4	13508.00	0.02124
01-R1134-LR-Asm	2-0043-unknownP6C4	13210.00	0.01886
01-R1134-LR-Asm	2-0046P6C4	13232.00	0.01470
01-R1134-LR-Asm	2-0052P6C4	13483.00	0.02225
01-R1134-LR-Asm	2-0059P6C4	13223.00	0.01694
01-R1134-LR-Asm	2-0068P6C4	13520.00	0.01991
01-R1134-LR-Asm	2016-0386	14771.00	0.04031
01-R1134-LR-Asm	2018-0565	14730.00	0.03961
01-R1134-LR-Asm	3003-06-LR-Asm	13546.00	0.02095
01-R1134-LR-Asm	3-0059P6C4	12625.00	0.01565
01-R1134-LR-Asm	3-0090P6C4	14496.00	0.02993
01-R1134-LR-Asm	3-0096P6C4	14513.00	0.02617
01-R1134-LR-Asm	3-0124P6C4	14499.00	0.02765
01-R1134-LR-Asm	4-0010P6C4	12932.00	0.01289
01-R1134-LR-Asm	4-0012P6C4	13159.00	0.01607
01-R1134-LR-Asm	4-0019P6C4	12933.00	0.01285
01-R1134-LR-Asm	4-0024P6C4	12928.00	0.01290
01-R1134-LR-Asm	4-0041P6C4	12933.00	0.01291
01-R1134-LR-Asm	4-0062P6C4	13501.00	0.02170
01-R1134-LR-Asm	4-0073P6C4	12999.00	0.01357
01-R1134-LR-Asm	4-0077P6C4	13498.00	0.02134
01-R1134-LR-Asm	4549-04-LR-Asm	13553.00	0.02171
01-R1134-LR-Asm	4860	12787.00	0.01068
01-R1134-LR-Asm	702-06-LR-Asm	13534.00	0.02125
01-R1134-LR-Asm	706-05-LR-Asm	13519.00	0.02037
01-R1134-LR-Asm	8129-04-LR-Asm	13525.00	0.02030
01-R1134-LR-Asm	8644-04-LR-Asm	12905.00	0.01270
01-R1134-LR-Asm	9050-05-LR-Asm	13538.00	0.02099
01-R1134-LR-Asm	942272	14501.00	0.03803
01-R1134-LR-Asm	AF2122-97	14737.00	0.03961
01-R1134-LR-Asm	ARR1960-LR-Asm	13525.00	0.02135
01-R1134-LR-Asm	ATCC35782	14459.00	0.03876
01-R1134-LR-Asm	AUSMDU00018547	14465.00	0.03029
01-R1134-LR-Asm	AZE-02-041-LR-Asm	13499.00	0.02041
01-R1134-LR-Asm	AZE-02-042-LR-Asm	12793.00	0.01129
01-R1134-LR-Asm	AZE-02-067-LR-Asm	13497.00	0.01997
01-R1134-LR-Asm	BCG-SL222-Sofia	14633.00	0.04284
01-R1134-LR-Asm	Beijing-391	13554.00	0.02261
01-R1134-LR-Asm	Beijing-like-35049	13516.00	0.02016
01-R1134-LR-Asm	Beijing-like-36918	13497.00	0.02039
01-R1134-LR-Asm	Beijing-like-38774	13508.00	0.02001
01-R1134-LR-Asm	Beijing-like-50148	13500.00	0.02002
01-R1134-LR-Asm	BLR-31d	13500.00	0.01949
01-R1134-LR-Asm	CHIN-F1	12992.00	0.01377
01-R1134-LR-Asm	CP010329-H37Rv	13035.00	0.01554
01-R1134-LR-Asm	CP010333	14578.00	0.04235
01-R1134-LR-Asm	CP010337	12900.00	0.01491
01-R1134-LR-Asm	Danish-1331	14623.00	0.04503
01-R1134-LR-Asm	delta-sapM	14625.00	0.04525
01-R1134-LR-Asm	DN049-DNA	14451.00	0.03182
01-R1134-LR-Asm	DN059-DNA	14417.00	0.03207
01-R1134-LR-Asm	DN067-DNA	13478.00	0.02110
01-R1134-LR-Asm	DN068-DNA	14391.00	0.03084
01-R1134-LR-Asm	DN101-DNA	14428.00	0.03215
01-R1134-LR-Asm	DN105-DNA	14421.00	0.03119
01-R1134-LR-Asm	DN146-DNA	13472.00	0.02202
01-R1134-LR-Asm	DN181-DNA	13563.00	0.02068
01-R1134-LR-Asm	DN251-DNA	13474.00	0.02007
01-R1134-LR-Asm	DNA019-Rose-LR-Asm	13190.00	0.01466
01-R1134-LR-Asm	DNA019-Vash-LR-Asm	13513.00	0.02059
01-R1134-LR-Asm	DNA020-LR-Asm	12798.00	0.01079
01-R1134-LR-Asm	DNA028-LR-Asm	13520.00	0.01995
01-R1134-LR-Asm	DNA044-LR-Asm	13230.00	0.01458
01-R1134-LR-Asm	DNA054-LR-Asm	12865.00	0.01168
01-R1134-LR-Asm	DNA075-LR-Asm	13514.00	0.02125
01-R1134-LR-Asm	DNA086-LR-Asm	12790.00	0.01159
01-R1134-LR-Asm	DNA089-LR-Asm	13506.00	0.01948
01-R1134-LR-Asm	DNA091-LR-Asm	13509.00	0.02091
01-R1134-LR-Asm	DNA096-LR-Asm	13505.00	0.01948
01-R1134-LR-Asm	DNA114-LR-Asm	13496.00	0.01940
